date_week,em_star,cum_star,em_star_up,em_star_low
2013-10-14,3.45470364896,3.0,3.87006968061,2.99147620095
2013-10-28,3.64840222052,3.6,3.93464793916,3.33420608814
2013-11-04,4.0040685289,3.85714285714,4.32856643862,3.60700666979
2013-11-11,3.98780139536,3.88888888889,4.37453553845,3.4920261387
2013-11-25,4.25128832346,4.0,4.62871501448,3.70761031707
2013-12-02,2.56765872608,3.46153846154,3.27750897135,1.87158631093
2013-12-09,3.50750928676,3.57142857143,4.09682076801,2.78889295736
2013-12-16,3.67571866154,3.6,4.27880421527,2.92340697523
2013-12-30,3.18855922824,3.47368421053,3.57416356448,2.76632830418
2014-01-20,3.74669909545,3.55,4.23375645647,3.15302212537
2014-02-17,3.82772786467,3.57142857143,4.37164422139,3.11503186743
2014-02-24,3.49290624432,3.54545454545,4.21050531996,2.59093301207
2014-03-17,3.28137616718,3.52173913043,4.02959927055,2.36756289761
2014-03-24,3.08483861253,3.46153846154,3.54876392485,2.58749299389
2014-04-07,3.71450691996,3.51851851852,4.21309789839,3.10017249909
2014-04-14,3.2563716077,3.46666666667,3.70828061669,2.75405263462
2014-04-28,3.86168695917,3.53125,4.22699819718,3.42501915666
2014-05-05,4.15425421043,3.57575757576,4.55278664461,3.60455377
2014-06-02,3.38991890603,3.52941176471,4.16266040171,2.41647750309
2014-06-09,2.32783481102,3.45714285714,3.27387750896,1.43202692752
2014-06-16,3.04381843653,3.45945945946,3.60243527836,2.4655137766
2014-06-30,3.38503285186,3.47368421053,3.9959076164,2.68290090859
2014-07-07,1.77932395523,3.29268292683,2.24375432021,1.3519739109
2014-07-14,2.62402962969,3.26666666667,2.98088859591,2.26439692779
2014-07-21,3.80625899643,3.35416666667,4.07497586179,3.49845978741
2014-07-28,4.26486117766,3.42,4.52483458537,3.93305485063
2014-08-04,4.17598253516,3.43137254902,4.59279837371,3.55735304804
2014-08-25,3.55045401238,3.41509433962,4.16397632721,2.77899924939
2014-09-01,2.94092331001,3.38181818182,3.55969677382,2.29940669274
2014-09-15,3.69340363909,3.41071428571,4.21981994436,3.01561646384
2014-09-22,3.78541125926,3.42105263158,4.36099890963,3.03008072276
2014-09-29,3.84734160324,3.43103448276,4.423058117,3.05118384726
2014-10-13,3.6506788879,3.43333333333,4.17464993282,3.00685995829
2014-10-27,4.07944909469,3.45901639344,4.52298653257,3.46480635867
2014-11-03,3.49990683841,3.44444444444,4.10276087615,2.78403444981
2014-11-10,3.29550685629,3.4375,4.01109359081,2.44764729969
2014-11-24,3.92722139145,3.46153846154,4.43874230313,3.23384714168
2014-12-15,3.95719155129,3.4776119403,4.38756714207,3.38675553497
2014-12-22,4.20411027848,3.50724637681,4.53842915928,3.75547934524
2014-12-29,3.09657132976,3.47142857143,3.92787686446,2.12915147243
2015-01-05,3.7090407336,3.49315068493,4.05016813388,3.31110984307
2015-01-12,3.78484912875,3.5,4.28808348962,3.15254592692
2015-01-19,3.09405012192,3.48,3.89286523989,2.1938357985
2015-01-26,3.03843868629,3.46753246753,3.59750373686,2.42603080325
2015-02-02,2.24784401895,3.4358974359,3.04005664164,1.50092841537
2015-02-09,3.36326014623,3.45569620253,4.01378606309,2.60009136865
2015-02-16,3.34390742408,3.4512195122,3.76058213692,2.89177397961
2015-02-23,2.86871502996,3.43373493976,3.55163223441,2.12754184444
2015-03-09,2.65438925333,3.41176470588,3.21391020459,2.06784896675
2015-03-16,2.84308995968,3.40229885057,3.36070645345,2.30074071771
2015-04-06,2.15781434673,3.375,2.88911192748,1.46389952183
2015-04-20,2.72637365397,3.36263736264,3.16663739737,2.27012345955
2015-05-04,2.27267426518,3.31914893617,2.69320709628,1.87175458054
2015-05-11,3.40069269974,3.34375,3.8181037684,2.93373544895
2015-05-18,2.93116607835,3.32653061224,3.45443541538,2.36612774802
2015-05-25,3.64330120512,3.34343434343,4.17035190164,2.98116812081
2015-06-01,4.07786077103,3.36,4.51807304699,3.47207391943
2015-06-08,3.21096191933,3.3431372549,3.86481393022,2.46334555898
