date_week,em_star,cum_star,em_star_up,em_star_low
2011-06-13,4.63925450435,5.0,4.76189975943,4.47494868929
2011-06-20,4.73479241654,5.0,4.85886334173,4.54882153808
2011-06-27,4.42127709212,4.6,4.78031075254,3.79525862527
2011-07-04,4.46991214645,4.55555555556,4.70617178306,4.14445023052
2011-07-11,4.3463309825,4.5,4.70959277755,3.76303213784
2011-07-18,4.50451218253,4.53846153846,4.73352730927,4.18026361461
2011-07-25,4.37577326082,4.5,4.73849698542,3.79445372593
2011-08-01,4.51717761431,4.52941176471,4.7462696357,4.18378519395
2011-08-08,4.50274078024,4.52631578947,4.76659373973,4.10002623533
2011-08-15,4.36104035908,4.5,4.75411277844,3.6935370272
2011-08-22,4.22937433295,4.47619047619,4.71875039628,3.41177344271
2011-09-12,4.43943133547,4.5,4.80241723478,3.80914246878
2011-09-19,4.55616117806,4.52,4.78788185291,4.18996053453
2011-09-26,4.61808855817,4.53846153846,4.86047435562,4.18576076493
2011-10-03,4.40592793233,4.5,4.70444456225,3.94604149695
2011-10-10,4.36364495816,4.48484848485,4.65041509332,3.95869449388
2011-10-17,4.48454888344,4.5,4.7758408406,4.01477908742
2011-10-24,4.33846663263,4.48571428571,4.75916354932,3.62718977525
2011-10-31,4.49630316534,4.5,4.82432852812,3.88518266203
2011-11-07,4.33752797903,4.48648648649,4.79515646873,3.48155367239
2011-11-14,4.59325285771,4.51219512195,4.77306417309,4.33530562724
2011-11-21,4.72397903634,4.54545454545,4.85957282258,4.51292926811
2011-12-05,4.73996654434,4.55555555556,4.91198605819,4.4134399575
2011-12-12,4.65546269806,4.55319148936,4.89276039806,4.18848132616
2011-12-19,4.5872268919,4.55102040816,4.86461938653,4.06589048447
2011-12-26,4.54400948821,4.54901960784,4.83802881295,4.0192051501
2012-01-02,4.68908212693,4.57142857143,4.83331418816,4.47653355565
2012-01-09,4.38876544755,4.53225806452,4.64221077762,4.04656620135
2012-01-16,4.50121528903,4.53846153846,4.70853627156,4.21325329202
2012-01-23,4.64820039781,4.55714285714,4.78015898083,4.46981721332
2012-02-06,4.39085797121,4.53424657534,4.67442280909,3.98412194663
2012-02-13,4.5018909374,4.54054054054,4.79027087155,4.02883455528
2012-02-20,4.38940233088,4.525,4.61459252991,4.08997577326
2012-02-27,4.49099201477,4.53086419753,4.76263235425,4.07206035356
2012-03-05,4.20053251448,4.50588235294,4.53707661863,3.75254559042
2012-03-12,4.56279175568,4.52272727273,4.7342198942,4.33204430889
2012-03-19,4.61142658128,4.52808988764,4.83158090769,4.25058132594
2012-03-26,4.46093873543,4.52222222222,4.81994340515,3.82353950349
2012-04-02,4.56208593025,4.52688172043,4.79941175572,4.20537841564
2012-04-16,4.62295056045,4.53191489362,4.8652274892,4.19187154192
2012-04-23,4.73205871135,4.54166666667,4.9040860818,4.41798895907
2012-04-30,4.7875388865,4.55102040816,4.93407786371,4.48789337485
2012-05-07,4.73311857814,4.55445544554,4.91716001185,4.36283904577
2012-05-14,4.84979998957,4.57547169811,4.93715530952,4.69788722197
2012-05-21,4.86339804376,4.58333333333,4.95854197358,4.66769082694
2012-05-28,4.7005236265,4.58260869565,4.88731603298,4.35529645406
2012-06-04,3.67487183623,4.525,4.27436138787,2.90095900589
2012-06-11,4.40145713758,4.53174603175,4.52875722062,4.24927023635
2012-06-18,3.80421636671,4.49230769231,4.14167593343,3.40775977606
2012-06-25,4.29957223691,4.4962962963,4.46072162609,4.11055426031
2012-07-02,4.3504719783,4.49635036496,4.59727796714,4.03006724366
2012-07-09,4.48625842068,4.5,4.65197972065,4.27719349079
2012-07-16,4.4568560794,4.49668874172,4.59352170256,4.29498843138
2012-07-23,4.32231133468,4.48717948718,4.52886687874,4.06307412488
2012-07-30,4.16888736375,4.47798742138,4.46111332693,3.79169996756
2012-08-06,4.13527064969,4.46107784431,4.31129024265,3.93839437817
2012-08-13,4.57646658288,4.4802259887,4.64895765292,4.49317448319
2012-08-20,4.61154966651,4.48633879781,4.72863873237,4.46759432834
2012-08-27,4.6824728017,4.49468085106,4.8009638425,4.52408067813
2012-09-03,3.7204367286,4.45360824742,4.15678654669,3.18686263198
2012-09-10,3.68635323317,4.44162436548,4.04393233819,3.2727203773
2012-09-17,3.47985030744,4.425,3.86506450184,3.06791190365
2012-09-24,4.26370434856,4.43349753695,4.47000982071,4.02638524499
2012-10-01,4.13947039066,4.42718446602,4.43042522307,3.76889037815
2012-10-08,4.05113798638,4.41904761905,4.32781439715,3.71756048994
2012-10-15,3.46123451499,4.40758293839,4.07104596966,2.73769543376
2012-10-22,4.17873844187,4.41121495327,4.4239628771,3.88356146647
2012-10-29,4.1893792738,4.40639269406,4.39934394804,3.93766551445
2012-11-05,4.24337256338,4.40540540541,4.49498769047,3.92899623704
2012-11-12,4.58515355632,4.41666666667,4.69627419733,4.44961452852
2012-11-19,4.26195377423,4.40869565217,4.58308227347,3.82610127284
2012-11-26,4.51810141592,4.41379310345,4.74512218457,4.18683802522
2012-12-03,4.73555306447,4.42916666667,4.81874726314,4.62731194299
2012-12-10,4.19707419745,4.40963855422,4.4597766215,3.87489026177
2012-12-17,4.38370043274,4.41176470588,4.53850500621,4.19532628911
2012-12-24,4.57728283262,4.41923076923,4.70779607268,4.41651808271
2012-12-31,4.52870072384,4.42164179104,4.66741534568,4.35758338994
2013-01-07,4.61028283313,4.42647058824,4.76103564113,4.40936805441
2013-01-14,4.69108158786,4.43065693431,4.8513336062,4.4381440081
2013-01-21,4.67461380971,4.43321299639,4.85517895263,4.38122461999
