date_week,em_star,cum_star,em_star_up,em_star_low
2008-09-29,4.26963274867,5.0,4.66341550983,3.67827727399
2008-10-27,3.17621175512,3.5,4.3052089677,1.72404234185
2008-11-10,3.611816375,3.66666666667,4.39660987807,2.53190016143
2009-04-13,3.77523983766,3.75,4.50515129231,2.70361781618
2009-08-03,3.8498642825,3.8,4.57930566772,2.73845582895
2010-01-04,4.32988824461,4.0,4.78667059426,3.53349496038
2010-04-05,3.65144036292,3.85714285714,4.62667328535,2.13208443245
2010-05-17,3.80759367726,3.875,4.56678579609,2.62730089247
2010-09-20,3.35861254119,3.77777777778,4.34729698854,2.03276105864
2010-10-11,3.6677068574,3.8,4.43940431035,2.5920054701
2011-01-31,3.2926894723,3.72727272727,4.27937776857,2.04053162127
2011-02-14,2.01113785542,3.5,3.19823856141,0.993124435634
2011-03-07,3.7638365152,3.64285714286,4.24186417718,3.17118100774
2011-07-18,3.88851722962,3.6875,4.37703857656,3.26618805866
2011-09-05,3.89521637582,3.70588235294,4.57080515585,2.88938325197
2012-04-23,3.39876042893,3.66666666667,4.36540511204,2.07982671684
2012-06-04,4.18075456883,3.73684210526,4.69694771036,3.35321797131
2012-07-02,3.05312072233,3.65,4.25295481301,1.59854042342
2012-07-23,3.56500574414,3.66666666667,4.37378904259,2.47816691276
2012-07-30,3.75156537974,3.68181818182,4.49992251743,2.68348900599
2012-09-24,4.28377952493,3.73913043478,4.76004413359,3.43749863063
2012-12-24,3.11956506815,3.66666666667,4.3672129833,1.53730045937
2013-02-04,3.59238020518,3.68,4.41968034521,2.45440499809
2013-12-09,3.76814851951,3.69230769231,4.50870635086,2.67737891062
2014-03-10,3.846420469,3.7037037037,4.56481061339,2.7663569433
2014-03-24,2.29171688815,3.60714285714,3.61573823521,1.05776992156
2014-04-21,3.77997618129,3.65517241379,4.47177297137,2.82104954832
2014-05-05,4.29185991613,3.7,4.76238910245,3.47777694487
2014-06-02,4.09700551218,3.70967741935,4.7663014017,2.87980651749
2014-07-07,3.4813892871,3.6875,4.52994846451,1.94391468382
2014-09-01,3.74650666044,3.69696969697,4.52828148227,2.591531568
2014-09-08,4.28805080716,3.73529411765,4.76643395662,3.46145694912
2014-11-17,4.10054722469,3.74285714286,4.77555135901,2.85311318827
2014-11-24,4.44612438383,3.77777777778,4.87215335117,3.57163907206
2015-01-05,4.58659368859,3.81081081081,4.93228054598,3.72549258156
2015-02-02,3.24451043485,3.76315789474,4.68926330993,1.14485881285
2015-03-23,1.85042642602,3.69230769231,3.17280375189,0.750757735272
2015-05-11,1.94420911856,3.65,3.10295622349,0.936093458158
2015-05-25,1.465629099,3.58536585366,2.50836588154,0.671385541839
2015-06-22,2.83848283473,3.59523809524,3.93409134347,1.65101466891
2015-07-27,3.94733440507,3.62790697674,4.5438180311,3.07353962914
2015-08-31,4.5316745939,3.68888888889,4.78393611984,4.12306274191
2015-09-07,4.28759013526,3.69565217391,4.82619822792,3.17079604209
2015-10-05,4.52922489741,3.72340425532,4.90452597148,3.69445333815
2015-10-19,4.61716617728,3.75,4.95079052027,3.67190563186
2015-11-30,3.76331265904,3.73469387755,4.85033980374,1.64098728566
2015-12-07,4.41556126323,3.76,4.86466610947,3.46446402751
2016-01-25,4.69425021406,3.80769230769,4.91553995052,4.23472062819
2016-02-08,2.9688603109,3.75471698113,4.50950864469,1.04943394587
2016-02-15,3.58682614433,3.75925925926,4.40939323916,2.43302315942
2016-02-29,3.16924494784,3.73214285714,3.8880304698,2.35691399908
2016-03-28,3.55384709451,3.73684210526,4.3138916527,2.55699686775
2016-04-25,2.168733597,3.68965517241,3.36222535846,1.09884557758
2016-05-09,3.70890058144,3.71186440678,4.40319371014,2.75748411763
2016-05-16,3.80985984213,3.71666666667,4.53231711665,2.72892409221
2016-08-08,4.3101638826,3.73770491803,4.77187927188,3.48841388858
2016-09-05,4.64321393729,3.77777777778,4.87588766897,4.2115949
2016-10-17,4.53627681037,3.8,4.88373568474,3.78914949267
2017-01-09,4.63000251156,3.81818181818,4.94287098795,3.8016221383
