date_week,em_star,cum_star,em_star_up,em_star_low
2013-09-30,3.1340269672,3.0,3.31699963883,2.94060290185
2013-10-21,2.77318035573,2.0,3.10975700747,2.43034206705
2013-10-28,3.04023729163,2.66666666667,3.43723606489,2.61150545526
2013-11-11,3.48786299225,3.25,3.87847343458,3.05617494754
2013-11-18,2.86507271341,2.8,3.38360231687,2.33588985041
2013-12-09,3.53708911944,3.28571428571,3.87469105125,3.16250748978
2013-12-23,3.83041263493,3.5,4.16389403368,3.44010101201
2013-12-30,4.04668270678,3.7,4.30804960424,3.72499245063
2014-01-06,3.64174096277,3.54545454545,4.04917132391,3.16461014357
2014-01-13,3.94179353146,3.66666666667,4.29647180082,3.50899926874
2014-01-20,4.12756654261,3.78571428571,4.3950770431,3.7989164207
2014-01-27,4.23440265447,3.875,4.47426011062,3.93830809526
2014-02-03,3.81058736206,3.76470588235,4.20387094078,3.32587768961
2014-02-10,3.88104104776,3.78947368421,4.20157550045,3.48940466604
2014-02-17,4.08897025841,3.85,4.39743899334,3.70487639971
2014-02-24,3.88471650522,3.81818181818,4.22559159735,3.47254223885
2014-03-03,3.15857166984,3.66666666667,3.59859609116,2.69315536169
2014-03-10,3.48944554426,3.67857142857,3.73034580311,3.22545499776
2014-03-17,3.57563106381,3.68965517241,3.90359716873,3.2072770008
2014-03-24,2.8074255302,3.54838709677,3.20541549838,2.39199935574
2014-03-31,3.43816402427,3.60606060606,3.75701745617,3.09250910326
2014-04-07,3.74428009294,3.64705882353,4.07044485612,3.34965742445
2014-04-14,3.78905079444,3.65714285714,4.15783566335,3.35117547615
2014-04-21,4.03555656074,3.7027027027,4.31029927982,3.71715268948
2014-04-28,4.02158191999,3.71052631579,4.34732823681,3.62036656454
2014-05-05,3.3124666446,3.64102564103,3.83083750307,2.72426303805
2014-05-12,3.2200165922,3.625,3.75623747526,2.62654460888
2014-05-19,3.42797370945,3.63414634146,3.90258892546,2.89565990258
2014-05-26,3.80755180068,3.66666666667,4.19355992495,3.3404698417
2014-06-09,4.05366949639,3.70454545455,4.33599737404,3.72130247963
2014-06-16,4.21459474111,3.73333333333,4.49295220727,3.86608921526
2014-06-23,4.33664701481,3.76086956522,4.60144919031,3.99438887631
2014-07-07,4.27305402989,3.76595744681,4.58528265679,3.85293656637
2014-07-28,3.74888069042,3.72916666667,4.24757583885,3.12583279537
2014-08-04,3.89870056931,3.75,4.14874747446,3.61100902696
2014-08-11,3.9127115073,3.75471698113,4.22621824668,3.54647149868
2014-08-18,4.09478912257,3.78181818182,4.35698475214,3.78821426975
2014-08-25,4.06992640318,3.78571428571,4.38359160378,3.69015317458
2014-09-08,3.69261427266,3.75862068966,4.06227566882,3.25694513101
2014-09-29,3.61834053421,3.75,3.96462565181,3.21481193188
2014-10-13,3.69369837284,3.75409836066,4.07076513926,3.26282603995
2014-11-03,3.52943521919,3.74193548387,3.97044400227,3.01995104853
2014-11-10,3.86849118077,3.7619047619,4.2406664168,3.41761173854
2014-12-01,3.89873709847,3.765625,4.28612885926,3.43547576861
2014-12-22,3.68229392351,3.75384615385,4.13406489136,3.13868281694
2014-12-29,3.49957128892,3.74242424242,3.99811213788,2.92052914346
2015-01-05,3.07632981316,3.71641791045,3.62935661579,2.448352655
2015-01-12,3.59746105091,3.73529411765,4.04386427284,3.08039727928
2015-01-19,2.89605421377,3.69565217391,3.46783672518,2.28993519012
2015-02-02,3.20535477519,3.7,3.71410796545,2.64977114823
2015-02-09,3.14734779731,3.69014084507,3.66230276212,2.58916784678
2015-02-23,3.29704907923,3.68493150685,3.67626716325,2.86271105081
2015-03-09,4.03830479593,3.74025974026,4.21568540126,3.83726049967
2015-03-16,3.54722429977,3.70512820513,3.89496747645,3.15854256646
2015-03-23,3.53090764499,3.7,3.86348273096,3.16275957387
2015-04-06,2.57668099241,3.63414634146,2.98595076594,2.16091261452
2015-04-20,3.48532738193,3.66666666667,3.79080994546,3.14055375894
2015-05-18,3.7726337998,3.68235294118,4.10002687849,3.39302030797
2015-05-25,3.72650080599,3.68181818182,4.00874951971,3.41476585907
2015-06-08,3.57815721061,3.67415730337,3.94895909614,3.16403375721
2015-06-15,3.87844592979,3.68888888889,4.22383648421,3.46648199588
2015-07-06,3.18520095931,3.65934065934,3.71046180174,2.62148331659
2015-07-13,3.92605129015,3.6914893617,4.16571730101,3.65751730203
2015-07-27,3.25941263696,3.64948453608,3.58666670401,2.90828219291
2015-08-10,3.67239687313,3.66666666667,3.95083320086,3.36223314578
2015-08-17,3.72624773045,3.67,4.06697596168,3.34365383158
2015-08-24,4.13218344659,3.69607843137,4.36741255008,3.85097319819
2015-09-07,4.26162916713,3.70873786408,4.51392437702,3.94579348326
2015-09-21,4.32673299368,3.72380952381,4.55698788604,4.0417412857
2015-10-12,4.41893269135,3.7358490566,4.646536445,4.10861401284
2015-10-19,3.71490626801,3.71028037383,4.20608139036,3.10694868369
2015-11-02,3.83067463625,3.71559633028,4.18143478272,3.40063733901
2015-11-30,4.21311526851,3.73873873874,4.44269308476,3.93126960179
2015-12-07,4.28508328077,3.75221238938,4.50557760291,4.00918247973
2015-12-21,4.05434011595,3.74782608696,4.34531407551,3.68553493821
2015-12-28,4.21878509893,3.75862068966,4.50242087435,3.85543408202
2016-01-11,4.34419039731,3.76923076923,4.60467589466,3.99895819019
2016-01-18,4.52002464617,3.78991596639,4.70829281629,4.26611244281
2016-01-25,4.43949130051,3.79166666667,4.68415351379,4.09577801129
2016-02-01,4.35660887163,3.79338842975,4.65470044942,3.93423663149
